match_id,league_name,match_time,home_team,away_team,final_score,bookmaker,init_win,init_draw,init_lose,final_win,final_draw,final_lose
1904110,英格兰超级联赛,2021-05-10T02:00:00,阿森纳,西布罗姆维奇,3月1日,Macauslot,1.42,4.25,6,1.42,4.25,6
1904110,英格兰超级联赛,2021-05-10T02:00:00,阿森纳,西布罗姆维奇,3月1日,William Hill,1.53,4.2,6.5,1.44,4.6,7
1907212,英格兰超级联赛,2021-03-14T22:00:00,莱斯特城,谢菲尔德联队,5-0,Bet 365,1.5,4,7,1.5,4,7.5
1907212,英格兰超级联赛,2021-03-14T22:00:00,莱斯特城,谢菲尔德联队,5-0,Easybets,1.48,4.3,7,1.54,4.1,6.9
1907212,英格兰超级联赛,2021-03-14T22:00:00,莱斯特城,谢菲尔德联队,5-0,Lottery Official,1.46,3.6,5.65,1.33,4,7.25
1907212,英格兰超级联赛,2021-03-14T22:00:00,莱斯特城,谢菲尔德联队,5-0,Macauslot,1.42,4.05,6.6,1.36,4.2,7.7
1907212,英格兰超级联赛,2021-03-14T22:00:00,莱斯特城,谢菲尔德联队,5-0,William Hill,1.5,4.33,6.5,1.44,3.9,8
1913792,西班牙甲组联赛,2021-03-18T02:00:00,塞维利亚,艾尔切,2-0,Bet 365,1.33,5,9,1.44,4.2,8
1913792,西班牙甲组联赛,2021-03-18T02:00:00,塞维利亚,艾尔切,2-0,Easybets,1.35,4.9,9.3,1.47,4.2,8
1913792,西班牙甲组联赛,2021-03-18T02:00:00,塞维利亚,艾尔切,2-0,Lottery Official,1.23,4.65,9,1.28,4.35,7.8
1913792,西班牙甲组联赛,2021-03-18T02:00:00,塞维利亚,艾尔切,2-0,Macauslot,1.31,4.5,8.2,1.3,4.5,8.2
1913792,西班牙甲组联赛,2021-03-18T02:00:00,塞维利亚,艾尔切,2-0,William Hill,1.3,5,12,1.44,4.2,8.5
1913853,西班牙甲组联赛,2020-11-01T21:00:00,皇家贝蒂斯,艾尔切,3月1日,Bet 365,1.61,3.6,6,1.44,4.5,7
1913853,西班牙甲组联赛,2020-11-01T21:00:00,皇家贝蒂斯,艾尔切,3月1日,Easybets,1.55,3.9,7.2,1.47,4.4,7.6
1913853,西班牙甲组联赛,2020-11-01T21:00:00,皇家贝蒂斯,艾尔切,3月1日,Lottery Official,1.37,3.8,7,1.35,4.1,6.5
1913853,西班牙甲组联赛,2020-11-01T21:00:00,皇家贝蒂斯,艾尔切,3月1日,Macauslot,1.48,3.58,6.6,1.42,3.8,7.2
1913853,西班牙甲组联赛,2020-11-01T21:00:00,皇家贝蒂斯,艾尔切,3月1日,William Hill,1.73,3.5,5.5,1.44,4.33,7.5
1913863,西班牙甲组联赛,2020-11-08T01:30:00,塞维利亚,奥萨苏纳,1-0,Bet 365,1.61,3.5,6.25,1.44,4.5,7
1913863,西班牙甲组联赛,2020-11-08T01:30:00,塞维利亚,奥萨苏纳,1-0,Easybets,1.63,3.8,5.7,1.52,4.2,7
1913863,西班牙甲组联赛,2020-11-08T01:30:00,塞维利亚,奥萨苏纳,1-0,Lottery Official,1.48,3.45,5.8,1.41,3.65,6.5
1913863,西班牙甲组联赛,2020-11-08T01:30:00,塞维利亚,奥萨苏纳,1-0,Macauslot,1.55,3.62,5.45,1.4,4.1,6.8
1913863,西班牙甲组联赛,2020-11-08T01:30:00,塞维利亚,奥萨苏纳,1-0,William Hill,1.65,3.4,7,1.44,4.33,7.5
1913868,西班牙甲组联赛,2020-11-07T23:15:00,巴塞罗那,皇家贝蒂斯,5月2日,Bet 365,1.36,5,7.5,1.45,5.1,5.75
1913868,西班牙甲组联赛,2020-11-07T23:15:00,巴塞罗那,皇家贝蒂斯,5月2日,Easybets,1.41,5.1,6.7,1.51,5,5.6
1913868,西班牙甲组联赛,2020-11-07T23:15:00,巴塞罗那,皇家贝蒂斯,5月2日,Lottery Official,1.32,4.5,6.25,1.32,4.5,6.25
1913868,西班牙甲组联赛,2020-11-07T23:15:00,巴塞罗那,皇家贝蒂斯,5月2日,Macauslot,1.33,4.95,6.7,1.45,4.6,5
1913868,西班牙甲组联赛,2020-11-07T23:15:00,巴塞罗那,皇家贝蒂斯,5月2日,William Hill,1.3,5.5,10,1.44,4.75,6.5
1913872,西班牙甲组联赛,2020-11-21T21:00:00,莱万特,艾尔切,1月1日,Bet 365,2.25,3.2,3.25,1.44,4.33,7
1913872,西班牙甲组联赛,2020-11-21T21:00:00,莱万特,艾尔切,1月1日,Easybets,1.74,4,4.7,1.48,4.6,6.8
1913872,西班牙甲组联赛,2020-11-21T21:00:00,莱万特,艾尔切,1月1日,Macauslot,1.67,3.68,4.25,1.4,4.4,6
1913872,西班牙甲组联赛,2020-11-21T21:00:00,莱万特,艾尔切,1月1日,William Hill,2.38,3.2,3.2,1.44,4.4,7.5
1913915,西班牙甲组联赛,2020-12-20T04:00:00,塞维利亚,巴拉多利德,1月1日,Bet 365,1.5,3.75,7.5,1.4,4.5,8.5
1913915,西班牙甲组联赛,2020-12-20T04:00:00,塞维利亚,巴拉多利德,1月1日,Lottery Official,1.4,3.55,7,1.34,3.83,7.6
1913915,西班牙甲组联赛,2020-12-20T04:00:00,塞维利亚,巴拉多利德,1月1日,Macauslot,1.48,3.71,6,1.4,4,6.8
1913915,西班牙甲组联赛,2020-12-20T04:00:00,塞维利亚,巴拉多利德,1月1日,William Hill,1.44,4,9,1.44,4.2,8.5
1913984,西班牙甲组联赛,2021-02-01T04:00:00,巴塞罗那,毕尔巴鄂竞技,2月1日,Bet 365,1.36,5,7.5,1.45,4.75,6.5
1913984,西班牙甲组联赛,2021-02-01T04:00:00,巴塞罗那,毕尔巴鄂竞技,2月1日,Easybets,1.41,5.1,7.2,1.52,4.7,5.8
1913984,西班牙甲组联赛,2021-02-01T04:00:00,巴塞罗那,毕尔巴鄂竞技,2月1日,Lottery Official,1.25,4.9,7.5,1.25,4.9,7.5
1913984,西班牙甲组联赛,2021-02-01T04:00:00,巴塞罗那,毕尔巴鄂竞技,2月1日,Macauslot,1.38,4.7,6.1,1.42,4.7,5.4
1913984,西班牙甲组联赛,2021-02-01T04:00:00,巴塞罗那,毕尔巴鄂竞技,2月1日,William Hill,1.36,5,8.5,1.44,4.75,6.5
1914090,西班牙甲组联赛,2021-04-26T00:30:00,塞维利亚,格拉纳达,2月1日,Bet 365,1.44,4.33,7,1.44,4.5,7
1914090,西班牙甲组联赛,2021-04-26T00:30:00,塞维利亚,格拉纳达,2月1日,Easybets,1.47,4.3,6,1.46,4.5,7.3
1914090,西班牙甲组联赛,2021-04-26T00:30:00,塞维利亚,格拉纳达,2月1日,Lottery Official,1.3,4.2,7.1,1.26,4.55,7.35
1914090,西班牙甲组联赛,2021-04-26T00:30:00,塞维利亚,格拉纳达,2月1日,Macauslot,1.38,4.4,6.7,1.38,4.4,6.7
